discriminator,schema_version,lane_id,regime,artifact_class,transform_id,factorization_class,semantic_relation,record_count,mean_semantic_error,mean_value_error,match_rate,evidence_labels,supports_factorization_count,artifact_sources
d1_factorization,grc9v3_properties_iter2_v1,current_hybrid_signed_hessian,core_loop_factorization,derived_column_cancellation_proxy,column_permutation_312,row_column,structured_column_permutation,3,0.0,0.011322052023878704,1.0,derived,3,B
d1_factorization,grc9v3_properties_iter2_v1,current_hybrid_signed_hessian,core_loop_factorization,derived_column_cancellation_proxy,degree_preserving_random_relabel,non_factorized,s9_random_triple_proxy,3,1.0,0.6715588034213481,0.0,derived,0,B
d1_factorization,grc9v3_properties_iter2_v1,current_hybrid_signed_hessian,core_loop_factorization,derived_column_cancellation_proxy,identity,row_column,identity,3,0.0,0.011322052023878704,1.0,derived,3,B
d1_factorization,grc9v3_properties_iter2_v1,current_hybrid_signed_hessian,core_loop_factorization,derived_column_cancellation_proxy,row_column_transpose,transpose,transpose_control,3,1.0,1.0,0.0,derived,0,B
d1_factorization,grc9v3_properties_iter2_v1,current_hybrid_signed_hessian,core_loop_factorization,derived_column_cancellation_proxy,row_permutation_231,row_column,structured_row_permutation,3,0.0,0.014676410264044204,1.0,derived,3,B
d1_factorization,grc9v3_properties_iter2_v1,current_hybrid_signed_hessian,core_loop_factorization,row_differential_signature,column_permutation_312,row_column,structured_column_permutation,3,0.0,0.37294853667088573,1.0,derived,3,A
d1_factorization,grc9v3_properties_iter2_v1,current_hybrid_signed_hessian,core_loop_factorization,row_differential_signature,degree_preserving_random_relabel,non_factorized,s9_random_triple_proxy,3,1.0,0.590621907412486,0.0,derived,0,A
d1_factorization,grc9v3_properties_iter2_v1,current_hybrid_signed_hessian,core_loop_factorization,row_differential_signature,identity,row_column,identity,3,0.0,0.37294853667088573,1.0,derived,3,A
d1_factorization,grc9v3_properties_iter2_v1,current_hybrid_signed_hessian,core_loop_factorization,row_differential_signature,row_column_transpose,transpose,transpose_control,3,1.0,0.6666666666666666,0.0,derived,0,A
d1_factorization,grc9v3_properties_iter2_v1,current_hybrid_signed_hessian,core_loop_factorization,row_differential_signature,row_permutation_231,row_column,structured_row_permutation,3,0.0,0.37294853667088573,1.0,derived,3,A
d1_factorization,grc9v3_properties_iter2_v1,current_hybrid_signed_hessian,lane_a_spark_capacity,lane_a_saturation_gate,column_permutation_312,row_column,lane_a_gate_invariant,4,0.0,0.0,1.0,direct,0,C
d1_factorization,grc9v3_properties_iter2_v1,current_hybrid_signed_hessian,lane_a_spark_capacity,lane_a_saturation_gate,degree_preserving_random_relabel,non_factorized,lane_a_gate_invariant,4,0.0,0.0,1.0,direct,0,C
d1_factorization,grc9v3_properties_iter2_v1,current_hybrid_signed_hessian,lane_a_spark_capacity,lane_a_saturation_gate,identity,row_column,lane_a_gate_invariant,4,0.0,0.0,1.0,direct,0,C
d1_factorization,grc9v3_properties_iter2_v1,current_hybrid_signed_hessian,lane_a_spark_capacity,lane_a_saturation_gate,row_column_transpose,transpose,lane_a_gate_invariant,4,0.0,0.0,1.0,direct,0,C
d1_factorization,grc9v3_properties_iter2_v1,current_hybrid_signed_hessian,lane_a_spark_capacity,lane_a_saturation_gate,row_permutation_231,row_column,lane_a_gate_invariant,4,0.0,0.0,1.0,direct,0,C
d1_factorization,grc9v3_properties_iter2_v1,current_hybrid_signed_hessian,mechanical_refinement_convention,post_refinement_column_mapping,column_permutation_312,row_column,structured_column_permutation,4,0.0,0.0,1.0,direct,4,D
d1_factorization,grc9v3_properties_iter2_v1,current_hybrid_signed_hessian,mechanical_refinement_convention,post_refinement_column_mapping,degree_preserving_random_relabel,non_factorized,s9_random_triple_proxy,4,1.0,0.0,1.0,partial,0,D
d1_factorization,grc9v3_properties_iter2_v1,current_hybrid_signed_hessian,mechanical_refinement_convention,post_refinement_column_mapping,identity,row_column,identity,4,0.0,0.0,1.0,direct,4,D
d1_factorization,grc9v3_properties_iter2_v1,current_hybrid_signed_hessian,mechanical_refinement_convention,post_refinement_column_mapping,row_column_transpose,transpose,transpose_control,4,1.0,0.0,1.0,partial,0,D
d1_factorization,grc9v3_properties_iter2_v1,current_hybrid_signed_hessian,mechanical_refinement_convention,post_refinement_column_mapping,row_permutation_231,row_column,structured_row_permutation,4,0.0,0.0,1.0,direct,4,D
