discriminator,schema_version,lane_id,seed,condition_id,condition_class,transform_id,active_degree,inactive_ports,inactive_port_count,is_sink_before,basin_id_before,gradient_norm,eps_gradient,basin_interior_gate,min_signed_hessian,eps_spark,signed_hessian_degeneracy_gate,saturation_gate,canonical_candidate_predicate,candidate_event_count,refinement_event_count,candidate_matches_expected,candidate_event_steps,event_sequence,budget_before,budget_after,budget_error,budget_tolerance,budget_evidence_available,budget_evidence_source,reassignment_map_available,reassignment_edge_count,near_saturation_policy,derived_column_diagnostic_role,best_column_pressure,best_column_cancellation,d4_gate_interpretation,evidence_label,artifact_sources
d4_saturation,grc9v3_properties_iter2_v1,current_hybrid_signed_hessian,0,C1_degree_7_stressed,same_instability_without_saturation,identity,7,8 9,2,True,root,0.0,0.01,True,-0.1,0.0,True,False,False,0,0,True,,,,,,1e-12,False,,False,0,not_implemented_in_lane_a,analysis_diagnostic_only,24.0,0.0,stress_without_fullness_does_not_trigger,direct,"GRC9V3State topology/nodes/sink_set, detect_hybrid_spark_candidates, apply_hybrid_sparks, hybrid_mechanical_expansion payload"
d4_saturation,grc9v3_properties_iter2_v1,current_hybrid_signed_hessian,0,C1_degree_7_stressed,same_instability_without_saturation,row_permutation_231,7,2 3,2,True,root,0.0,0.01,True,-0.1,0.0,True,False,False,0,0,True,,,,,,1e-12,False,,False,0,not_implemented_in_lane_a,analysis_diagnostic_only,24.0,0.0,stress_without_fullness_does_not_trigger,direct,"GRC9V3State topology/nodes/sink_set, detect_hybrid_spark_candidates, apply_hybrid_sparks, hybrid_mechanical_expansion payload"
d4_saturation,grc9v3_properties_iter2_v1,current_hybrid_signed_hessian,0,C1_degree_7_stressed,same_instability_without_saturation,column_permutation_312,7,7 8,2,True,root,0.0,0.01,True,-0.1,0.0,True,False,False,0,0,True,,,,,,1e-12,False,,False,0,not_implemented_in_lane_a,analysis_diagnostic_only,24.0,0.0,stress_without_fullness_does_not_trigger,direct,"GRC9V3State topology/nodes/sink_set, detect_hybrid_spark_candidates, apply_hybrid_sparks, hybrid_mechanical_expansion payload"
d4_saturation,grc9v3_properties_iter2_v1,current_hybrid_signed_hessian,0,C1_degree_7_stressed,same_instability_without_saturation,row_column_transpose,7,6 9,2,True,root,0.0,0.01,True,-0.1,0.0,True,False,False,0,0,True,,,,,,1e-12,False,,False,0,not_implemented_in_lane_a,analysis_diagnostic_only,24.0,0.0,stress_without_fullness_does_not_trigger,direct,"GRC9V3State topology/nodes/sink_set, detect_hybrid_spark_candidates, apply_hybrid_sparks, hybrid_mechanical_expansion payload"
d4_saturation,grc9v3_properties_iter2_v1,current_hybrid_signed_hessian,0,C1_degree_7_stressed,same_instability_without_saturation,degree_preserving_random_relabel,7,2 7,2,True,root,0.0,0.01,True,-0.1,0.0,True,False,False,0,0,True,,,,,,1e-12,False,,False,0,not_implemented_in_lane_a,analysis_diagnostic_only,24.0,0.0,stress_without_fullness_does_not_trigger,direct,"GRC9V3State topology/nodes/sink_set, detect_hybrid_spark_candidates, apply_hybrid_sparks, hybrid_mechanical_expansion payload"
d4_saturation,grc9v3_properties_iter2_v1,current_hybrid_signed_hessian,0,C2_degree_8_stressed,same_instability_without_saturation,identity,8,9,1,True,root,0.0,0.01,True,-0.1,0.0,True,False,False,0,0,True,,,,,,1e-12,False,,False,0,not_implemented_in_lane_a,analysis_diagnostic_only,24.0,0.0,stress_without_fullness_does_not_trigger,direct,"GRC9V3State topology/nodes/sink_set, detect_hybrid_spark_candidates, apply_hybrid_sparks, hybrid_mechanical_expansion payload"
d4_saturation,grc9v3_properties_iter2_v1,current_hybrid_signed_hessian,0,C2_degree_8_stressed,same_instability_without_saturation,row_permutation_231,8,3,1,True,root,0.0,0.01,True,-0.1,0.0,True,False,False,0,0,True,,,,,,1e-12,False,,False,0,not_implemented_in_lane_a,analysis_diagnostic_only,24.0,0.0,stress_without_fullness_does_not_trigger,direct,"GRC9V3State topology/nodes/sink_set, detect_hybrid_spark_candidates, apply_hybrid_sparks, hybrid_mechanical_expansion payload"
d4_saturation,grc9v3_properties_iter2_v1,current_hybrid_signed_hessian,0,C2_degree_8_stressed,same_instability_without_saturation,column_permutation_312,8,8,1,True,root,0.0,0.01,True,-0.1,0.0,True,False,False,0,0,True,,,,,,1e-12,False,,False,0,not_implemented_in_lane_a,analysis_diagnostic_only,24.0,0.0,stress_without_fullness_does_not_trigger,direct,"GRC9V3State topology/nodes/sink_set, detect_hybrid_spark_candidates, apply_hybrid_sparks, hybrid_mechanical_expansion payload"
d4_saturation,grc9v3_properties_iter2_v1,current_hybrid_signed_hessian,0,C2_degree_8_stressed,same_instability_without_saturation,row_column_transpose,8,9,1,True,root,0.0,0.01,True,-0.1,0.0,True,False,False,0,0,True,,,,,,1e-12,False,,False,0,not_implemented_in_lane_a,analysis_diagnostic_only,24.0,0.0,stress_without_fullness_does_not_trigger,direct,"GRC9V3State topology/nodes/sink_set, detect_hybrid_spark_candidates, apply_hybrid_sparks, hybrid_mechanical_expansion payload"
d4_saturation,grc9v3_properties_iter2_v1,current_hybrid_signed_hessian,0,C2_degree_8_stressed,same_instability_without_saturation,degree_preserving_random_relabel,8,7,1,True,root,0.0,0.01,True,-0.1,0.0,True,False,False,0,0,True,,,,,,1e-12,False,,False,0,not_implemented_in_lane_a,analysis_diagnostic_only,24.0,0.0,stress_without_fullness_does_not_trigger,direct,"GRC9V3State topology/nodes/sink_set, detect_hybrid_spark_candidates, apply_hybrid_sparks, hybrid_mechanical_expansion payload"
d4_saturation,grc9v3_properties_iter2_v1,current_hybrid_signed_hessian,0,C3_degree_9_stressed,canonical_saturation_with_instability,identity,9,,0,True,root,0.0,0.01,True,-0.1,0.0,True,True,True,1,1,True,0,0:hybrid_spark_candidate@step_0;1:hybrid_mechanical_expansion@step_0;2:hybrid_spark_completed@step_0,18.0,18.0,0.0,1e-12,True,hybrid_mechanical_expansion.payload,True,9,not_implemented_in_lane_a,analysis_diagnostic_only,24.0,0.0,saturation_plus_instability_triggers_lane_a_expansion,direct,"GRC9V3State topology/nodes/sink_set, detect_hybrid_spark_candidates, apply_hybrid_sparks, hybrid_mechanical_expansion payload"
d4_saturation,grc9v3_properties_iter2_v1,current_hybrid_signed_hessian,0,C3_degree_9_stressed,canonical_saturation_with_instability,row_permutation_231,9,,0,True,root,0.0,0.01,True,-0.1,0.0,True,True,True,1,1,True,0,0:hybrid_spark_candidate@step_0;1:hybrid_mechanical_expansion@step_0;2:hybrid_spark_completed@step_0,18.0,18.0,0.0,1e-12,True,hybrid_mechanical_expansion.payload,True,9,not_implemented_in_lane_a,analysis_diagnostic_only,24.0,0.0,saturation_plus_instability_triggers_lane_a_expansion,direct,"GRC9V3State topology/nodes/sink_set, detect_hybrid_spark_candidates, apply_hybrid_sparks, hybrid_mechanical_expansion payload"
d4_saturation,grc9v3_properties_iter2_v1,current_hybrid_signed_hessian,0,C3_degree_9_stressed,canonical_saturation_with_instability,column_permutation_312,9,,0,True,root,0.0,0.01,True,-0.1,0.0,True,True,True,1,1,True,0,0:hybrid_spark_candidate@step_0;1:hybrid_mechanical_expansion@step_0;2:hybrid_spark_completed@step_0,18.0,18.0,0.0,1e-12,True,hybrid_mechanical_expansion.payload,True,9,not_implemented_in_lane_a,analysis_diagnostic_only,24.0,0.0,saturation_plus_instability_triggers_lane_a_expansion,direct,"GRC9V3State topology/nodes/sink_set, detect_hybrid_spark_candidates, apply_hybrid_sparks, hybrid_mechanical_expansion payload"
d4_saturation,grc9v3_properties_iter2_v1,current_hybrid_signed_hessian,0,C3_degree_9_stressed,canonical_saturation_with_instability,row_column_transpose,9,,0,True,root,0.0,0.01,True,-0.1,0.0,True,True,True,1,1,True,0,0:hybrid_spark_candidate@step_0;1:hybrid_mechanical_expansion@step_0;2:hybrid_spark_completed@step_0,18.0,18.0,0.0,1e-12,True,hybrid_mechanical_expansion.payload,True,9,not_implemented_in_lane_a,analysis_diagnostic_only,24.0,0.0,saturation_plus_instability_triggers_lane_a_expansion,direct,"GRC9V3State topology/nodes/sink_set, detect_hybrid_spark_candidates, apply_hybrid_sparks, hybrid_mechanical_expansion payload"
d4_saturation,grc9v3_properties_iter2_v1,current_hybrid_signed_hessian,0,C3_degree_9_stressed,canonical_saturation_with_instability,degree_preserving_random_relabel,9,,0,True,root,0.0,0.01,True,-0.1,0.0,True,True,True,1,1,True,0,0:hybrid_spark_candidate@step_0;1:hybrid_mechanical_expansion@step_0;2:hybrid_spark_completed@step_0,18.0,18.0,0.0,1e-12,True,hybrid_mechanical_expansion.payload,True,9,not_implemented_in_lane_a,analysis_diagnostic_only,24.0,0.0,saturation_plus_instability_triggers_lane_a_expansion,direct,"GRC9V3State topology/nodes/sink_set, detect_hybrid_spark_candidates, apply_hybrid_sparks, hybrid_mechanical_expansion payload"
d4_saturation,grc9v3_properties_iter2_v1,current_hybrid_signed_hessian,0,C5_degree_9_stable_hessian,same_saturation_without_instability,identity,9,,0,True,root,0.0,0.01,True,0.2,0.0,False,True,False,0,0,True,,,,,,1e-12,False,,False,0,not_implemented_in_lane_a,analysis_diagnostic_only,24.0,0.0,fullness_without_instability_does_not_trigger,direct,"GRC9V3State topology/nodes/sink_set, detect_hybrid_spark_candidates, apply_hybrid_sparks, hybrid_mechanical_expansion payload"
d4_saturation,grc9v3_properties_iter2_v1,current_hybrid_signed_hessian,0,C5_degree_9_stable_hessian,same_saturation_without_instability,row_permutation_231,9,,0,True,root,0.0,0.01,True,0.2,0.0,False,True,False,0,0,True,,,,,,1e-12,False,,False,0,not_implemented_in_lane_a,analysis_diagnostic_only,24.0,0.0,fullness_without_instability_does_not_trigger,direct,"GRC9V3State topology/nodes/sink_set, detect_hybrid_spark_candidates, apply_hybrid_sparks, hybrid_mechanical_expansion payload"
d4_saturation,grc9v3_properties_iter2_v1,current_hybrid_signed_hessian,0,C5_degree_9_stable_hessian,same_saturation_without_instability,column_permutation_312,9,,0,True,root,0.0,0.01,True,0.2,0.0,False,True,False,0,0,True,,,,,,1e-12,False,,False,0,not_implemented_in_lane_a,analysis_diagnostic_only,24.0,0.0,fullness_without_instability_does_not_trigger,direct,"GRC9V3State topology/nodes/sink_set, detect_hybrid_spark_candidates, apply_hybrid_sparks, hybrid_mechanical_expansion payload"
d4_saturation,grc9v3_properties_iter2_v1,current_hybrid_signed_hessian,0,C5_degree_9_stable_hessian,same_saturation_without_instability,row_column_transpose,9,,0,True,root,0.0,0.01,True,0.2,0.0,False,True,False,0,0,True,,,,,,1e-12,False,,False,0,not_implemented_in_lane_a,analysis_diagnostic_only,24.0,0.0,fullness_without_instability_does_not_trigger,direct,"GRC9V3State topology/nodes/sink_set, detect_hybrid_spark_candidates, apply_hybrid_sparks, hybrid_mechanical_expansion payload"
d4_saturation,grc9v3_properties_iter2_v1,current_hybrid_signed_hessian,0,C5_degree_9_stable_hessian,same_saturation_without_instability,degree_preserving_random_relabel,9,,0,True,root,0.0,0.01,True,0.2,0.0,False,True,False,0,0,True,,,,,,1e-12,False,,False,0,not_implemented_in_lane_a,analysis_diagnostic_only,24.0,0.0,fullness_without_instability_does_not_trigger,direct,"GRC9V3State topology/nodes/sink_set, detect_hybrid_spark_candidates, apply_hybrid_sparks, hybrid_mechanical_expansion payload"
