discriminator,schema_version,lane_id,condition_id,transform_id,predictor,edge_count,immediate_score,post_window_score,configured_window_steps,min_basin_mass_threshold,evidence_label,notes
d5_interface_memory,grc9v3_properties_iter2_v1,current_hybrid_signed_hessian,d_column_1_skewed_transfer,column_permutation_312,true_old_column,9,1.0,0.8888888888888888,3,1.0,direct,True parent column label against target module column.
d5_interface_memory,grc9v3_properties_iter2_v1,current_hybrid_signed_hessian,d_column_1_skewed_transfer,column_permutation_312,old_row_label,9,0.3333333333333333,0.2222222222222222,3,1.0,derived,Row-label control kept separate from true-column evidence.
d5_interface_memory,grc9v3_properties_iter2_v1,current_hybrid_signed_hessian,d_column_1_skewed_transfer,column_permutation_312,random_column_label,9,0.2222222222222222,0.2222222222222222,3,1.0,derived,Deterministic sampled random column-label control.
d5_interface_memory,grc9v3_properties_iter2_v1,current_hybrid_signed_hessian,d_column_1_skewed_transfer,column_permutation_312,random_triple_label,9,0.2222222222222222,0.2222222222222222,3,1.0,derived,Deterministic sampled random triple grouping control.
d5_interface_memory,grc9v3_properties_iter2_v1,current_hybrid_signed_hessian,d_column_1_skewed_transfer,column_permutation_312,degree_adjacency_endpoint_baseline,9,0.8888888888888888,0.8888888888888888,3,1.0,partial,Endpoint persistence baseline only; it does not predict semantic module column.
d5_interface_memory,grc9v3_properties_iter2_v1,current_hybrid_signed_hessian,d_column_1_skewed_transfer,degree_preserving_random_relabel,true_old_column,9,1.0,0.8888888888888888,3,1.0,direct,True parent column label against target module column.
d5_interface_memory,grc9v3_properties_iter2_v1,current_hybrid_signed_hessian,d_column_1_skewed_transfer,degree_preserving_random_relabel,old_row_label,9,0.3333333333333333,0.2222222222222222,3,1.0,derived,Row-label control kept separate from true-column evidence.
d5_interface_memory,grc9v3_properties_iter2_v1,current_hybrid_signed_hessian,d_column_1_skewed_transfer,degree_preserving_random_relabel,random_column_label,9,0.2222222222222222,0.2222222222222222,3,1.0,derived,Deterministic sampled random column-label control.
d5_interface_memory,grc9v3_properties_iter2_v1,current_hybrid_signed_hessian,d_column_1_skewed_transfer,degree_preserving_random_relabel,random_triple_label,9,0.2222222222222222,0.2222222222222222,3,1.0,derived,Deterministic sampled random triple grouping control.
d5_interface_memory,grc9v3_properties_iter2_v1,current_hybrid_signed_hessian,d_column_1_skewed_transfer,degree_preserving_random_relabel,degree_adjacency_endpoint_baseline,9,0.8888888888888888,0.8888888888888888,3,1.0,partial,Endpoint persistence baseline only; it does not predict semantic module column.
d5_interface_memory,grc9v3_properties_iter2_v1,current_hybrid_signed_hessian,d_column_1_skewed_transfer,identity,true_old_column,9,1.0,0.8888888888888888,3,1.0,direct,True parent column label against target module column.
d5_interface_memory,grc9v3_properties_iter2_v1,current_hybrid_signed_hessian,d_column_1_skewed_transfer,identity,old_row_label,9,0.3333333333333333,0.2222222222222222,3,1.0,derived,Row-label control kept separate from true-column evidence.
d5_interface_memory,grc9v3_properties_iter2_v1,current_hybrid_signed_hessian,d_column_1_skewed_transfer,identity,random_column_label,9,0.2222222222222222,0.2222222222222222,3,1.0,derived,Deterministic sampled random column-label control.
d5_interface_memory,grc9v3_properties_iter2_v1,current_hybrid_signed_hessian,d_column_1_skewed_transfer,identity,random_triple_label,9,0.2222222222222222,0.2222222222222222,3,1.0,derived,Deterministic sampled random triple grouping control.
d5_interface_memory,grc9v3_properties_iter2_v1,current_hybrid_signed_hessian,d_column_1_skewed_transfer,identity,degree_adjacency_endpoint_baseline,9,0.8888888888888888,0.8888888888888888,3,1.0,partial,Endpoint persistence baseline only; it does not predict semantic module column.
d5_interface_memory,grc9v3_properties_iter2_v1,current_hybrid_signed_hessian,d_column_1_skewed_transfer,row_column_transpose,true_old_column,9,1.0,0.8888888888888888,3,1.0,direct,True parent column label against target module column.
d5_interface_memory,grc9v3_properties_iter2_v1,current_hybrid_signed_hessian,d_column_1_skewed_transfer,row_column_transpose,old_row_label,9,0.3333333333333333,0.2222222222222222,3,1.0,derived,Row-label control kept separate from true-column evidence.
d5_interface_memory,grc9v3_properties_iter2_v1,current_hybrid_signed_hessian,d_column_1_skewed_transfer,row_column_transpose,random_column_label,9,0.2222222222222222,0.2222222222222222,3,1.0,derived,Deterministic sampled random column-label control.
d5_interface_memory,grc9v3_properties_iter2_v1,current_hybrid_signed_hessian,d_column_1_skewed_transfer,row_column_transpose,random_triple_label,9,0.2222222222222222,0.2222222222222222,3,1.0,derived,Deterministic sampled random triple grouping control.
d5_interface_memory,grc9v3_properties_iter2_v1,current_hybrid_signed_hessian,d_column_1_skewed_transfer,row_column_transpose,degree_adjacency_endpoint_baseline,9,0.8888888888888888,0.8888888888888888,3,1.0,partial,Endpoint persistence baseline only; it does not predict semantic module column.
d5_interface_memory,grc9v3_properties_iter2_v1,current_hybrid_signed_hessian,d_column_1_skewed_transfer,row_permutation_231,true_old_column,9,1.0,0.8888888888888888,3,1.0,direct,True parent column label against target module column.
d5_interface_memory,grc9v3_properties_iter2_v1,current_hybrid_signed_hessian,d_column_1_skewed_transfer,row_permutation_231,old_row_label,9,0.3333333333333333,0.2222222222222222,3,1.0,derived,Row-label control kept separate from true-column evidence.
