experiment,schema_version,lane_id,seed,variant_id,transform_id,path_id,corridor,path_edges,path_nodes,edge_count,metric_total,delay_total,flux_bottleneck,coupling_bottleneck,flux_cumulative,coupling_cumulative,signed_fluxes_json,edge_label_modes_json
experiment_f_path_disagreement,grc9v3_properties_iter2_v1,current_hybrid_signed_hessian,0,base_disagreement,identity,path_0_A_metric_short,A_metric_short,0 1,0 1 9,2,2.0,0.9999999999995,1.0,1.0,2.0,2.0,"[1.0, 1.0]","{""base_conductance"": ""experiment_fixed_inverse_geometric_length"", ""flux_coupling"": ""absolute_flux"", ""geometric_length"": ""experiment_fixed_corridor_fixture"", ""temporal_delay"": ""transport_ratio_from_fixed_labels""}"
experiment_f_path_disagreement,grc9v3_properties_iter2_v1,current_hybrid_signed_hessian,0,base_disagreement,identity,path_1_B_delay_fast,B_delay_fast,2 3,0 2 9,2,4.0,0.36363636363633056,10.0,10.0,20.0,20.0,"[10.0, 10.0]","{""base_conductance"": ""experiment_fixed_inverse_geometric_length"", ""flux_coupling"": ""absolute_flux"", ""geometric_length"": ""experiment_fixed_corridor_fixture"", ""temporal_delay"": ""transport_ratio_from_fixed_labels""}"
experiment_f_path_disagreement,grc9v3_properties_iter2_v1,current_hybrid_signed_hessian,0,base_disagreement,identity,path_2_C_flux_strong,C_flux_strong,4 5,0 3 9,2,8.0,0.38095238095236283,20.0,20.0,40.0,40.0,"[20.0, 20.0]","{""base_conductance"": ""experiment_fixed_inverse_geometric_length"", ""flux_coupling"": ""absolute_flux"", ""geometric_length"": ""experiment_fixed_corridor_fixture"", ""temporal_delay"": ""transport_ratio_from_fixed_labels""}"
experiment_f_path_disagreement,grc9v3_properties_iter2_v1,current_hybrid_signed_hessian,0,base_disagreement,degree_preserving_random_relabel,path_0_A_metric_short,A_metric_short,0 1,0 1 9,2,2.0,0.9999999999995,1.0,1.0,2.0,2.0,"[1.0, 1.0]","{""base_conductance"": ""experiment_fixed_inverse_geometric_length"", ""flux_coupling"": ""absolute_flux"", ""geometric_length"": ""experiment_fixed_corridor_fixture"", ""temporal_delay"": ""transport_ratio_from_fixed_labels""}"
experiment_f_path_disagreement,grc9v3_properties_iter2_v1,current_hybrid_signed_hessian,0,base_disagreement,degree_preserving_random_relabel,path_1_B_delay_fast,B_delay_fast,2 3,0 2 9,2,4.0,0.36363636363633056,10.0,10.0,20.0,20.0,"[10.0, 10.0]","{""base_conductance"": ""experiment_fixed_inverse_geometric_length"", ""flux_coupling"": ""absolute_flux"", ""geometric_length"": ""experiment_fixed_corridor_fixture"", ""temporal_delay"": ""transport_ratio_from_fixed_labels""}"
experiment_f_path_disagreement,grc9v3_properties_iter2_v1,current_hybrid_signed_hessian,0,base_disagreement,degree_preserving_random_relabel,path_2_C_flux_strong,C_flux_strong,4 5,0 3 9,2,8.0,0.38095238095236283,20.0,20.0,40.0,40.0,"[20.0, 20.0]","{""base_conductance"": ""experiment_fixed_inverse_geometric_length"", ""flux_coupling"": ""absolute_flux"", ""geometric_length"": ""experiment_fixed_corridor_fixture"", ""temporal_delay"": ""transport_ratio_from_fixed_labels""}"
experiment_f_path_disagreement,grc9v3_properties_iter2_v1,current_hybrid_signed_hessian,0,equalized_geometric_labels,identity,path_0_A_metric_short,A_metric_short,0 1,0 1 9,2,2.0,0.9999999999995,1.0,1.0,2.0,2.0,"[1.0, 1.0]","{""base_conductance"": ""experiment_fixed_inverse_geometric_length"", ""flux_coupling"": ""absolute_flux"", ""geometric_length"": ""experiment_fixed_corridor_fixture"", ""temporal_delay"": ""transport_ratio_from_fixed_labels""}"
experiment_f_path_disagreement,grc9v3_properties_iter2_v1,current_hybrid_signed_hessian,0,equalized_geometric_labels,identity,path_1_B_delay_fast,B_delay_fast,2 3,0 2 9,2,2.0,0.18181818181816528,10.0,10.0,20.0,20.0,"[10.0, 10.0]","{""base_conductance"": ""experiment_fixed_inverse_geometric_length"", ""flux_coupling"": ""absolute_flux"", ""geometric_length"": ""experiment_fixed_corridor_fixture"", ""temporal_delay"": ""transport_ratio_from_fixed_labels""}"
experiment_f_path_disagreement,grc9v3_properties_iter2_v1,current_hybrid_signed_hessian,0,equalized_geometric_labels,identity,path_2_C_flux_strong,C_flux_strong,4 5,0 3 9,2,2.0,0.09523809523809071,20.0,20.0,40.0,40.0,"[20.0, 20.0]","{""base_conductance"": ""experiment_fixed_inverse_geometric_length"", ""flux_coupling"": ""absolute_flux"", ""geometric_length"": ""experiment_fixed_corridor_fixture"", ""temporal_delay"": ""transport_ratio_from_fixed_labels""}"
experiment_f_path_disagreement,grc9v3_properties_iter2_v1,current_hybrid_signed_hessian,0,equalized_geometric_labels,degree_preserving_random_relabel,path_0_A_metric_short,A_metric_short,0 1,0 1 9,2,2.0,0.9999999999995,1.0,1.0,2.0,2.0,"[1.0, 1.0]","{""base_conductance"": ""experiment_fixed_inverse_geometric_length"", ""flux_coupling"": ""absolute_flux"", ""geometric_length"": ""experiment_fixed_corridor_fixture"", ""temporal_delay"": ""transport_ratio_from_fixed_labels""}"
