experiment,schema_version,lane_id,seed,condition_id,condition_class,transform_id,factorization_class,semantic_interpretability,from_step,to_step,from_port,to_port,from_row,to_row,from_column,to_column,from_successor_node_id,to_successor_node_id,successor_changed,transition_class,artifact_source
experiment_g_mixed_motion,grc9v3_properties_iter2_v1,current_hybrid_signed_hessian,0,g_row_preserving_column_changing,row_preserving_column_changing,identity,row_column,canonical_row_column,0,1,4,5,2,2,1,2,1,2,True,row_preserving_column_changing,dominant flux/boundary port history
experiment_g_mixed_motion,grc9v3_properties_iter2_v1,current_hybrid_signed_hessian,0,g_row_preserving_column_changing,row_preserving_column_changing,identity,row_column,canonical_row_column,1,2,5,6,2,2,2,3,2,3,True,row_preserving_column_changing,dominant flux/boundary port history
experiment_g_mixed_motion,grc9v3_properties_iter2_v1,current_hybrid_signed_hessian,0,g_row_preserving_column_changing,row_preserving_column_changing,row_permutation_231,row_column,canonical_row_column,0,1,7,8,3,3,1,2,1,2,True,row_preserving_column_changing,dominant flux/boundary port history
experiment_g_mixed_motion,grc9v3_properties_iter2_v1,current_hybrid_signed_hessian,0,g_row_preserving_column_changing,row_preserving_column_changing,row_permutation_231,row_column,canonical_row_column,1,2,8,9,3,3,2,3,2,3,True,row_preserving_column_changing,dominant flux/boundary port history
experiment_g_mixed_motion,grc9v3_properties_iter2_v1,current_hybrid_signed_hessian,0,g_row_preserving_column_changing,row_preserving_column_changing,column_permutation_312,row_column,canonical_row_column,0,1,6,4,2,2,3,1,1,2,True,row_preserving_column_changing,dominant flux/boundary port history
experiment_g_mixed_motion,grc9v3_properties_iter2_v1,current_hybrid_signed_hessian,0,g_row_preserving_column_changing,row_preserving_column_changing,column_permutation_312,row_column,canonical_row_column,1,2,4,5,2,2,1,2,2,3,True,row_preserving_column_changing,dominant flux/boundary port history
experiment_g_mixed_motion,grc9v3_properties_iter2_v1,current_hybrid_signed_hessian,0,g_row_preserving_column_changing,row_preserving_column_changing,degree_preserving_random_relabel,non_factorized,weakened_by_non_factorized_relabel,0,1,9,1,3,1,3,1,1,2,True,both_changing,dominant flux/boundary port history
experiment_g_mixed_motion,grc9v3_properties_iter2_v1,current_hybrid_signed_hessian,0,g_row_preserving_column_changing,row_preserving_column_changing,degree_preserving_random_relabel,non_factorized,weakened_by_non_factorized_relabel,1,2,1,3,1,1,1,3,2,3,True,row_preserving_column_changing,dominant flux/boundary port history
experiment_g_mixed_motion,grc9v3_properties_iter2_v1,current_hybrid_signed_hessian,0,g_column_preserving_row_changing,column_preserving_row_changing,identity,row_column,canonical_row_column,0,1,3,6,1,2,3,3,1,2,True,column_preserving_row_changing,dominant flux/boundary port history
experiment_g_mixed_motion,grc9v3_properties_iter2_v1,current_hybrid_signed_hessian,0,g_column_preserving_row_changing,column_preserving_row_changing,identity,row_column,canonical_row_column,1,2,6,9,2,3,3,3,2,3,True,column_preserving_row_changing,dominant flux/boundary port history
