comparison_id,source_experiment_or_discriminator,condition_id,transform_id,seed,spark_lane,candidate_event_id,column_h,column_h_branch_hit,column_h_threshold_hit,column_h_sign_crossing_hit,gate_reasons,evidence_label
lane_c_000,experiment_b_column_interface_cancellation,b_column_1_near_cancellation_near_zero_seed_0,identity,0,grc9v3_column_h_assisted,grc9v3-column-h-candidate-0-0,"[0.08000000000000007, 0.0, 0.0]",True,True,False,"[""column_h_threshold_hit""]",direct_runtime_proxy_branch
lane_c_001,experiment_b_column_interface_cancellation,b_column_1_near_cancellation_near_zero_seed_0__column_permutation_312,column_permutation_312,0,grc9v3_column_h_assisted,grc9v3-column-h-candidate-0-0,"[0.0, 0.0, 0.08000000000000007]",True,True,False,"[""column_h_threshold_hit""]",direct_runtime_proxy_branch
lane_c_002,experiment_b_column_interface_cancellation,b_column_1_near_cancellation_near_zero_seed_0__row_permutation_231,row_permutation_231,0,grc9v3_column_h_assisted,grc9v3-column-h-candidate-0-0,"[0.08000000000000007, 0.0, 0.0]",True,True,False,"[""column_h_threshold_hit""]",direct_runtime_proxy_branch
lane_c_003,experiment_b_column_interface_cancellation,b_column_1_near_cancellation_near_zero_seed_0__row_column_transpose,row_column_transpose,0,grc9v3_column_h_assisted,grc9v3-column-h-candidate-0-0,"[0.30000000000000004, -0.21999999999999997, 0.0]",True,True,False,"[""column_h_threshold_hit""]",direct_runtime_proxy_branch
lane_c_004,experiment_b_column_interface_cancellation,b_column_1_near_cancellation_near_zero_seed_0__degree_preserving_random_relabel,degree_preserving_random_relabel,0,grc9v3_column_h_assisted,grc9v3-column-h-candidate-0-0,"[0.0, 0.0, 0.08000000000000007]",True,True,False,"[""column_h_threshold_hit""]",direct_runtime_proxy_branch
lane_c_005,experiment_b_column_interface_cancellation,b_column_2_near_cancellation_near_zero_seed_0,identity,0,grc9v3_column_h_assisted,grc9v3-column-h-candidate-0-0,"[0.0, 0.08000000000000007, 0.0]",True,True,False,"[""column_h_threshold_hit""]",direct_runtime_proxy_branch
lane_c_006,experiment_b_column_interface_cancellation,b_column_2_near_cancellation_near_zero_seed_0__column_permutation_312,column_permutation_312,0,grc9v3_column_h_assisted,grc9v3-column-h-candidate-0-0,"[0.08000000000000007, 0.0, 0.0]",True,True,False,"[""column_h_threshold_hit""]",direct_runtime_proxy_branch
lane_c_007,experiment_b_column_interface_cancellation,b_column_2_near_cancellation_near_zero_seed_0__row_permutation_231,row_permutation_231,0,grc9v3_column_h_assisted,grc9v3-column-h-candidate-0-0,"[0.0, 0.08000000000000007, 0.0]",True,True,False,"[""column_h_threshold_hit""]",direct_runtime_proxy_branch
lane_c_008,experiment_b_column_interface_cancellation,b_column_2_near_cancellation_near_zero_seed_0__row_column_transpose,row_column_transpose,0,grc9v3_column_h_assisted,grc9v3-column-h-candidate-0-0,"[0.30000000000000004, -0.21999999999999997, 0.0]",True,True,False,"[""column_h_threshold_hit""]",direct_runtime_proxy_branch
lane_c_009,experiment_b_column_interface_cancellation,b_column_2_near_cancellation_near_zero_seed_0__degree_preserving_random_relabel,degree_preserving_random_relabel,0,grc9v3_column_h_assisted,grc9v3-column-h-candidate-0-0,"[-0.21999999999999997, 0.30000000000000004, 0.0]",True,True,False,"[""column_h_threshold_hit""]",direct_runtime_proxy_branch
