comparison_id,artifact_schema_version,source_experiment_or_discriminator,source_fixture_id,condition_id,transform_id,seed,lane_a_id,lane_b_id,lane_a_runtime_params,lane_b_runtime_params,lane_a_artifact_paths,lane_b_artifact_paths,candidate_count_lane_a,candidate_count_lane_b,refinement_count_lane_a,refinement_count_lane_b,lane_a_column_proxy_status,lane_a_column_proxy_value,lane_b_column_h,lane_b_column_h_branch_hit,lane_b_column_h_threshold_hit,lane_b_column_h_sign_crossing_hit,lane_b_gate_reasons,lane_b_candidate_event_id,lane_b_linked_expansion_event_id,budget_error_lane_a,budget_error_lane_b,old_column_preservation_lane_a,old_column_preservation_lane_b,post_window_identity_status_lane_a,post_window_identity_status_lane_b,lane_b_evidence_label,evidence_boundary
lane_c_000,grc9v3_lane_c_comparison_v1,experiment_b_column_interface_cancellation,b_column_1_near_cancellation_near_zero_seed_0,b_column_1_near_cancellation_near_zero_seed_0,identity,0,current_hybrid_signed_hessian,grc9v3_column_h_assisted,"{""constitutive_semantic_modes"": {""boundary_mode"": ""prune"", ""hessian_backend"": ""row_basis_diagonal"", ""spark_lane"": ""current_hybrid_signed_hessian""}, ""dt"": 0.1, ""evolution"": {""hessian_regularization"": 1e-09, ""rng_seed"": 0, ""site_potential_params"": {""mu"": 0.0, ""scale"": 1.0}, ""site_potential_selection"": ""quadratic""}}","{""constitutive_semantic_modes"": {""boundary_mode"": ""prune"", ""column_h_sign_crossing_mode"": ""theory_product"", ""enable_column_h_sign_crossing"": false, ""enable_column_h_threshold"": true, ""enable_near_saturation"": false, ""hessian_backend"": ""row_basis_diagonal"", ""near_saturation_degree"": 8, ""require_active_degree_9"": true, ""require_sink_for_column_h_spark"": true, ""spark_lane"": ""grc9v3_column_h_assisted"", ""store_previous_column_h"": false}, ""dt"": 0.1, ""evolution"": {""eps_column_h"": 0.001, ""eps_column_h_crossing_zero"": 0.0, ""hessian_regularization"": 1e-09, ""rng_seed"": 0, ""site_potential_params"": {""mu"": 0.0, ""scale"": 1.0}, ""site_potential_selection"": ""quadratic""}}","[""outputs/experiment_b_column_interface_cancellation_manifest.json"", ""outputs/experiment_b_column_interface_cancellation_rows.csv""]",[],0,1,0,1,derived_non_gating,0.0,"[0.08000000000000007, 0.0, 0.0]",True,True,False,"[""column_h_threshold_hit""]",grc9v3-column-h-candidate-0-0,hybrid-spark-0-0,,0.0,,True,not_evaluated_for_this_lane_c_slice,not_evaluated_for_this_lane_c_slice,direct_runtime_proxy_branch,Lane C paired clean fixture comparison only; no landscape-general claim.
lane_c_001,grc9v3_lane_c_comparison_v1,experiment_b_column_interface_cancellation,b_column_1_near_cancellation_near_zero_seed_0,b_column_1_near_cancellation_near_zero_seed_0__column_permutation_312,column_permutation_312,0,current_hybrid_signed_hessian,grc9v3_column_h_assisted,"{""constitutive_semantic_modes"": {""boundary_mode"": ""prune"", ""hessian_backend"": ""row_basis_diagonal"", ""spark_lane"": ""current_hybrid_signed_hessian""}, ""dt"": 0.1, ""evolution"": {""hessian_regularization"": 1e-09, ""rng_seed"": 0, ""site_potential_params"": {""mu"": 0.0, ""scale"": 1.0}, ""site_potential_selection"": ""quadratic""}}","{""constitutive_semantic_modes"": {""boundary_mode"": ""prune"", ""column_h_sign_crossing_mode"": ""theory_product"", ""enable_column_h_sign_crossing"": false, ""enable_column_h_threshold"": true, ""enable_near_saturation"": false, ""hessian_backend"": ""row_basis_diagonal"", ""near_saturation_degree"": 8, ""require_active_degree_9"": true, ""require_sink_for_column_h_spark"": true, ""spark_lane"": ""grc9v3_column_h_assisted"", ""store_previous_column_h"": false}, ""dt"": 0.1, ""evolution"": {""eps_column_h"": 0.001, ""eps_column_h_crossing_zero"": 0.0, ""hessian_regularization"": 1e-09, ""rng_seed"": 0, ""site_potential_params"": {""mu"": 0.0, ""scale"": 1.0}, ""site_potential_selection"": ""quadratic""}}","[""outputs/experiment_b_column_interface_cancellation_manifest.json"", ""outputs/experiment_b_column_interface_cancellation_rows.csv""]",[],0,1,0,1,derived_non_gating,0.0,"[0.0, 0.0, 0.08000000000000007]",True,True,False,"[""column_h_threshold_hit""]",grc9v3-column-h-candidate-0-0,hybrid-spark-0-0,,0.0,,True,not_evaluated_for_this_lane_c_slice,not_evaluated_for_this_lane_c_slice,direct_runtime_proxy_branch,Lane C paired clean fixture comparison only; no landscape-general claim.
lane_c_002,grc9v3_lane_c_comparison_v1,experiment_b_column_interface_cancellation,b_column_1_near_cancellation_near_zero_seed_0,b_column_1_near_cancellation_near_zero_seed_0__row_permutation_231,row_permutation_231,0,current_hybrid_signed_hessian,grc9v3_column_h_assisted,"{""constitutive_semantic_modes"": {""boundary_mode"": ""prune"", ""hessian_backend"": ""row_basis_diagonal"", ""spark_lane"": ""current_hybrid_signed_hessian""}, ""dt"": 0.1, ""evolution"": {""hessian_regularization"": 1e-09, ""rng_seed"": 0, ""site_potential_params"": {""mu"": 0.0, ""scale"": 1.0}, ""site_potential_selection"": ""quadratic""}}","{""constitutive_semantic_modes"": {""boundary_mode"": ""prune"", ""column_h_sign_crossing_mode"": ""theory_product"", ""enable_column_h_sign_crossing"": false, ""enable_column_h_threshold"": true, ""enable_near_saturation"": false, ""hessian_backend"": ""row_basis_diagonal"", ""near_saturation_degree"": 8, ""require_active_degree_9"": true, ""require_sink_for_column_h_spark"": true, ""spark_lane"": ""grc9v3_column_h_assisted"", ""store_previous_column_h"": false}, ""dt"": 0.1, ""evolution"": {""eps_column_h"": 0.001, ""eps_column_h_crossing_zero"": 0.0, ""hessian_regularization"": 1e-09, ""rng_seed"": 0, ""site_potential_params"": {""mu"": 0.0, ""scale"": 1.0}, ""site_potential_selection"": ""quadratic""}}","[""outputs/experiment_b_column_interface_cancellation_manifest.json"", ""outputs/experiment_b_column_interface_cancellation_rows.csv""]",[],0,1,0,1,derived_non_gating,0.0,"[0.08000000000000007, 0.0, 0.0]",True,True,False,"[""column_h_threshold_hit""]",grc9v3-column-h-candidate-0-0,hybrid-spark-0-0,,0.0,,True,not_evaluated_for_this_lane_c_slice,not_evaluated_for_this_lane_c_slice,direct_runtime_proxy_branch,Lane C paired clean fixture comparison only; no landscape-general claim.
lane_c_003,grc9v3_lane_c_comparison_v1,experiment_b_column_interface_cancellation,b_column_1_near_cancellation_near_zero_seed_0,b_column_1_near_cancellation_near_zero_seed_0__row_column_transpose,row_column_transpose,0,current_hybrid_signed_hessian,grc9v3_column_h_assisted,"{""constitutive_semantic_modes"": {""boundary_mode"": ""prune"", ""hessian_backend"": ""row_basis_diagonal"", ""spark_lane"": ""current_hybrid_signed_hessian""}, ""dt"": 0.1, ""evolution"": {""hessian_regularization"": 1e-09, ""rng_seed"": 0, ""site_potential_params"": {""mu"": 0.0, ""scale"": 1.0}, ""site_potential_selection"": ""quadratic""}}","{""constitutive_semantic_modes"": {""boundary_mode"": ""prune"", ""column_h_sign_crossing_mode"": ""theory_product"", ""enable_column_h_sign_crossing"": false, ""enable_column_h_threshold"": true, ""enable_near_saturation"": false, ""hessian_backend"": ""row_basis_diagonal"", ""near_saturation_degree"": 8, ""require_active_degree_9"": true, ""require_sink_for_column_h_spark"": true, ""spark_lane"": ""grc9v3_column_h_assisted"", ""store_previous_column_h"": false}, ""dt"": 0.1, ""evolution"": {""eps_column_h"": 0.001, ""eps_column_h_crossing_zero"": 0.0, ""hessian_regularization"": 1e-09, ""rng_seed"": 0, ""site_potential_params"": {""mu"": 0.0, ""scale"": 1.0}, ""site_potential_selection"": ""quadratic""}}","[""outputs/experiment_b_column_interface_cancellation_manifest.json"", ""outputs/experiment_b_column_interface_cancellation_rows.csv""]",[],0,1,0,1,derived_non_gating,0.0,"[0.30000000000000004, -0.21999999999999997, 0.0]",True,True,False,"[""column_h_threshold_hit""]",grc9v3-column-h-candidate-0-0,hybrid-spark-0-0,,0.0,,True,not_evaluated_for_this_lane_c_slice,not_evaluated_for_this_lane_c_slice,direct_runtime_proxy_branch,Lane C paired clean fixture comparison only; no landscape-general claim.
lane_c_004,grc9v3_lane_c_comparison_v1,experiment_b_column_interface_cancellation,b_column_1_near_cancellation_near_zero_seed_0,b_column_1_near_cancellation_near_zero_seed_0__degree_preserving_random_relabel,degree_preserving_random_relabel,0,current_hybrid_signed_hessian,grc9v3_column_h_assisted,"{""constitutive_semantic_modes"": {""boundary_mode"": ""prune"", ""hessian_backend"": ""row_basis_diagonal"", ""spark_lane"": ""current_hybrid_signed_hessian""}, ""dt"": 0.1, ""evolution"": {""hessian_regularization"": 1e-09, ""rng_seed"": 0, ""site_potential_params"": {""mu"": 0.0, ""scale"": 1.0}, ""site_potential_selection"": ""quadratic""}}","{""constitutive_semantic_modes"": {""boundary_mode"": ""prune"", ""column_h_sign_crossing_mode"": ""theory_product"", ""enable_column_h_sign_crossing"": false, ""enable_column_h_threshold"": true, ""enable_near_saturation"": false, ""hessian_backend"": ""row_basis_diagonal"", ""near_saturation_degree"": 8, ""require_active_degree_9"": true, ""require_sink_for_column_h_spark"": true, ""spark_lane"": ""grc9v3_column_h_assisted"", ""store_previous_column_h"": false}, ""dt"": 0.1, ""evolution"": {""eps_column_h"": 0.001, ""eps_column_h_crossing_zero"": 0.0, ""hessian_regularization"": 1e-09, ""rng_seed"": 0, ""site_potential_params"": {""mu"": 0.0, ""scale"": 1.0}, ""site_potential_selection"": ""quadratic""}}","[""outputs/experiment_b_column_interface_cancellation_manifest.json"", ""outputs/experiment_b_column_interface_cancellation_rows.csv""]",[],0,1,0,1,derived_non_gating,0.0,"[0.0, 0.0, 0.08000000000000007]",True,True,False,"[""column_h_threshold_hit""]",grc9v3-column-h-candidate-0-0,hybrid-spark-0-0,,0.0,,True,not_evaluated_for_this_lane_c_slice,not_evaluated_for_this_lane_c_slice,direct_runtime_proxy_branch,Lane C paired clean fixture comparison only; no landscape-general claim.
lane_c_005,grc9v3_lane_c_comparison_v1,experiment_b_column_interface_cancellation,b_column_2_near_cancellation_near_zero_seed_0,b_column_2_near_cancellation_near_zero_seed_0,identity,0,current_hybrid_signed_hessian,grc9v3_column_h_assisted,"{""constitutive_semantic_modes"": {""boundary_mode"": ""prune"", ""hessian_backend"": ""row_basis_diagonal"", ""spark_lane"": ""current_hybrid_signed_hessian""}, ""dt"": 0.1, ""evolution"": {""hessian_regularization"": 1e-09, ""rng_seed"": 0, ""site_potential_params"": {""mu"": 0.0, ""scale"": 1.0}, ""site_potential_selection"": ""quadratic""}}","{""constitutive_semantic_modes"": {""boundary_mode"": ""prune"", ""column_h_sign_crossing_mode"": ""theory_product"", ""enable_column_h_sign_crossing"": false, ""enable_column_h_threshold"": true, ""enable_near_saturation"": false, ""hessian_backend"": ""row_basis_diagonal"", ""near_saturation_degree"": 8, ""require_active_degree_9"": true, ""require_sink_for_column_h_spark"": true, ""spark_lane"": ""grc9v3_column_h_assisted"", ""store_previous_column_h"": false}, ""dt"": 0.1, ""evolution"": {""eps_column_h"": 0.001, ""eps_column_h_crossing_zero"": 0.0, ""hessian_regularization"": 1e-09, ""rng_seed"": 0, ""site_potential_params"": {""mu"": 0.0, ""scale"": 1.0}, ""site_potential_selection"": ""quadratic""}}","[""outputs/experiment_b_column_interface_cancellation_manifest.json"", ""outputs/experiment_b_column_interface_cancellation_rows.csv""]",[],0,1,0,1,derived_non_gating,0.0,"[0.0, 0.08000000000000007, 0.0]",True,True,False,"[""column_h_threshold_hit""]",grc9v3-column-h-candidate-0-0,hybrid-spark-0-0,,0.0,,True,not_evaluated_for_this_lane_c_slice,not_evaluated_for_this_lane_c_slice,direct_runtime_proxy_branch,Lane C paired clean fixture comparison only; no landscape-general claim.
lane_c_006,grc9v3_lane_c_comparison_v1,experiment_b_column_interface_cancellation,b_column_2_near_cancellation_near_zero_seed_0,b_column_2_near_cancellation_near_zero_seed_0__column_permutation_312,column_permutation_312,0,current_hybrid_signed_hessian,grc9v3_column_h_assisted,"{""constitutive_semantic_modes"": {""boundary_mode"": ""prune"", ""hessian_backend"": ""row_basis_diagonal"", ""spark_lane"": ""current_hybrid_signed_hessian""}, ""dt"": 0.1, ""evolution"": {""hessian_regularization"": 1e-09, ""rng_seed"": 0, ""site_potential_params"": {""mu"": 0.0, ""scale"": 1.0}, ""site_potential_selection"": ""quadratic""}}","{""constitutive_semantic_modes"": {""boundary_mode"": ""prune"", ""column_h_sign_crossing_mode"": ""theory_product"", ""enable_column_h_sign_crossing"": false, ""enable_column_h_threshold"": true, ""enable_near_saturation"": false, ""hessian_backend"": ""row_basis_diagonal"", ""near_saturation_degree"": 8, ""require_active_degree_9"": true, ""require_sink_for_column_h_spark"": true, ""spark_lane"": ""grc9v3_column_h_assisted"", ""store_previous_column_h"": false}, ""dt"": 0.1, ""evolution"": {""eps_column_h"": 0.001, ""eps_column_h_crossing_zero"": 0.0, ""hessian_regularization"": 1e-09, ""rng_seed"": 0, ""site_potential_params"": {""mu"": 0.0, ""scale"": 1.0}, ""site_potential_selection"": ""quadratic""}}","[""outputs/experiment_b_column_interface_cancellation_manifest.json"", ""outputs/experiment_b_column_interface_cancellation_rows.csv""]",[],0,1,0,1,derived_non_gating,0.0,"[0.08000000000000007, 0.0, 0.0]",True,True,False,"[""column_h_threshold_hit""]",grc9v3-column-h-candidate-0-0,hybrid-spark-0-0,,0.0,,True,not_evaluated_for_this_lane_c_slice,not_evaluated_for_this_lane_c_slice,direct_runtime_proxy_branch,Lane C paired clean fixture comparison only; no landscape-general claim.
lane_c_007,grc9v3_lane_c_comparison_v1,experiment_b_column_interface_cancellation,b_column_2_near_cancellation_near_zero_seed_0,b_column_2_near_cancellation_near_zero_seed_0__row_permutation_231,row_permutation_231,0,current_hybrid_signed_hessian,grc9v3_column_h_assisted,"{""constitutive_semantic_modes"": {""boundary_mode"": ""prune"", ""hessian_backend"": ""row_basis_diagonal"", ""spark_lane"": ""current_hybrid_signed_hessian""}, ""dt"": 0.1, ""evolution"": {""hessian_regularization"": 1e-09, ""rng_seed"": 0, ""site_potential_params"": {""mu"": 0.0, ""scale"": 1.0}, ""site_potential_selection"": ""quadratic""}}","{""constitutive_semantic_modes"": {""boundary_mode"": ""prune"", ""column_h_sign_crossing_mode"": ""theory_product"", ""enable_column_h_sign_crossing"": false, ""enable_column_h_threshold"": true, ""enable_near_saturation"": false, ""hessian_backend"": ""row_basis_diagonal"", ""near_saturation_degree"": 8, ""require_active_degree_9"": true, ""require_sink_for_column_h_spark"": true, ""spark_lane"": ""grc9v3_column_h_assisted"", ""store_previous_column_h"": false}, ""dt"": 0.1, ""evolution"": {""eps_column_h"": 0.001, ""eps_column_h_crossing_zero"": 0.0, ""hessian_regularization"": 1e-09, ""rng_seed"": 0, ""site_potential_params"": {""mu"": 0.0, ""scale"": 1.0}, ""site_potential_selection"": ""quadratic""}}","[""outputs/experiment_b_column_interface_cancellation_manifest.json"", ""outputs/experiment_b_column_interface_cancellation_rows.csv""]",[],0,1,0,1,derived_non_gating,0.0,"[0.0, 0.08000000000000007, 0.0]",True,True,False,"[""column_h_threshold_hit""]",grc9v3-column-h-candidate-0-0,hybrid-spark-0-0,,0.0,,True,not_evaluated_for_this_lane_c_slice,not_evaluated_for_this_lane_c_slice,direct_runtime_proxy_branch,Lane C paired clean fixture comparison only; no landscape-general claim.
lane_c_008,grc9v3_lane_c_comparison_v1,experiment_b_column_interface_cancellation,b_column_2_near_cancellation_near_zero_seed_0,b_column_2_near_cancellation_near_zero_seed_0__row_column_transpose,row_column_transpose,0,current_hybrid_signed_hessian,grc9v3_column_h_assisted,"{""constitutive_semantic_modes"": {""boundary_mode"": ""prune"", ""hessian_backend"": ""row_basis_diagonal"", ""spark_lane"": ""current_hybrid_signed_hessian""}, ""dt"": 0.1, ""evolution"": {""hessian_regularization"": 1e-09, ""rng_seed"": 0, ""site_potential_params"": {""mu"": 0.0, ""scale"": 1.0}, ""site_potential_selection"": ""quadratic""}}","{""constitutive_semantic_modes"": {""boundary_mode"": ""prune"", ""column_h_sign_crossing_mode"": ""theory_product"", ""enable_column_h_sign_crossing"": false, ""enable_column_h_threshold"": true, ""enable_near_saturation"": false, ""hessian_backend"": ""row_basis_diagonal"", ""near_saturation_degree"": 8, ""require_active_degree_9"": true, ""require_sink_for_column_h_spark"": true, ""spark_lane"": ""grc9v3_column_h_assisted"", ""store_previous_column_h"": false}, ""dt"": 0.1, ""evolution"": {""eps_column_h"": 0.001, ""eps_column_h_crossing_zero"": 0.0, ""hessian_regularization"": 1e-09, ""rng_seed"": 0, ""site_potential_params"": {""mu"": 0.0, ""scale"": 1.0}, ""site_potential_selection"": ""quadratic""}}","[""outputs/experiment_b_column_interface_cancellation_manifest.json"", ""outputs/experiment_b_column_interface_cancellation_rows.csv""]",[],0,1,0,1,derived_non_gating,0.0,"[0.30000000000000004, -0.21999999999999997, 0.0]",True,True,False,"[""column_h_threshold_hit""]",grc9v3-column-h-candidate-0-0,hybrid-spark-0-0,,0.0,,True,not_evaluated_for_this_lane_c_slice,not_evaluated_for_this_lane_c_slice,direct_runtime_proxy_branch,Lane C paired clean fixture comparison only; no landscape-general claim.
lane_c_009,grc9v3_lane_c_comparison_v1,experiment_b_column_interface_cancellation,b_column_2_near_cancellation_near_zero_seed_0,b_column_2_near_cancellation_near_zero_seed_0__degree_preserving_random_relabel,degree_preserving_random_relabel,0,current_hybrid_signed_hessian,grc9v3_column_h_assisted,"{""constitutive_semantic_modes"": {""boundary_mode"": ""prune"", ""hessian_backend"": ""row_basis_diagonal"", ""spark_lane"": ""current_hybrid_signed_hessian""}, ""dt"": 0.1, ""evolution"": {""hessian_regularization"": 1e-09, ""rng_seed"": 0, ""site_potential_params"": {""mu"": 0.0, ""scale"": 1.0}, ""site_potential_selection"": ""quadratic""}}","{""constitutive_semantic_modes"": {""boundary_mode"": ""prune"", ""column_h_sign_crossing_mode"": ""theory_product"", ""enable_column_h_sign_crossing"": false, ""enable_column_h_threshold"": true, ""enable_near_saturation"": false, ""hessian_backend"": ""row_basis_diagonal"", ""near_saturation_degree"": 8, ""require_active_degree_9"": true, ""require_sink_for_column_h_spark"": true, ""spark_lane"": ""grc9v3_column_h_assisted"", ""store_previous_column_h"": false}, ""dt"": 0.1, ""evolution"": {""eps_column_h"": 0.001, ""eps_column_h_crossing_zero"": 0.0, ""hessian_regularization"": 1e-09, ""rng_seed"": 0, ""site_potential_params"": {""mu"": 0.0, ""scale"": 1.0}, ""site_potential_selection"": ""quadratic""}}","[""outputs/experiment_b_column_interface_cancellation_manifest.json"", ""outputs/experiment_b_column_interface_cancellation_rows.csv""]",[],0,1,0,1,derived_non_gating,0.0,"[-0.21999999999999997, 0.30000000000000004, 0.0]",True,True,False,"[""column_h_threshold_hit""]",grc9v3-column-h-candidate-0-0,hybrid-spark-0-0,,0.0,,True,not_evaluated_for_this_lane_c_slice,not_evaluated_for_this_lane_c_slice,direct_runtime_proxy_branch,Lane C paired clean fixture comparison only; no landscape-general claim.
